age,monthly_salary,total_experience_years,years_at_company,monthly_overtime_hours,department,job_level,attrition
42,8300.0,10,10,4,Sales,Junior,No
56,10900.0,17,17,4,Sales,Senior,No
51,7900.0,10,9,23,HR,Senior,Yes
22,3000.0,1,1,10,Engineering,Mid,No
24,5500.0,3,3,16,Engineering,Senior,No
53,10500.0,20,0,23,Sales,Junior,No
44,6700.0,9,5,14,Sales,Senior,No
32,7400.0,8,8,18,HR,Mid,No
57,10800.0,19,0,9,Sales,Mid,Yes
28,5600.0,6,6,9,Engineering,Mid,No
38,7800.0,10,10,16,Engineering,Junior,No
35,4800.0,7,4,15,Engineering,Junior,Yes
24,3700.0,4,4,13,HR,Mid,Yes
56,7800.0,12,6,2,Engineering,Senior,No
38,6400.0,10,10,10,Engineering,Junior,Yes
24,2500.0,2,2,20,Sales,Junior,Yes
42,8700.0,11,5,6,Sales,Mid,Yes
44,10300.0,19,11,2,Sales,Mid,Yes
51,6600.0,12,9,19,HR,Mid,Yes
22,5100.0,2,2,24,Engineering,Junior,Yes
44,11700.0,21,9,22,Sales,Mid,No
40,8700.0,15,3,3,Sales,Senior,No
48,5800.0,10,10,16,HR,Senior,Yes
47,11200.0,19,4,19,Sales,Senior,Yes
22,4600.0,2,2,17,Sales,Junior,Yes
